candidate_row_id,batch_order,phase,batch_id,disease_name,entity_type,entity_name,role_assignment,assignment_confidence,review_priority,evidence_source_ids,evidence_basis,review_reason,join_note,source_check_note
role_gap_host_roles_v0_1_chikungunya_fever_chlorocebus_aethiops_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Chlorocebus aethiops,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation; Not specified,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_erythrocebus_patas_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Erythrocebus patas,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=reservoir_or_amplifying_host; evidence_basis=exact_source_backed,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_macaca_fascicularis_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Macaca fascicularis,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Antibodies; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_mus_musculus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Mus musculus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Isolation/Observation; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_papio_hamadryas_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Papio hamadryas,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Antibodies; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_papio_papio_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Papio papio,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=reservoir_or_amplifying_host; evidence_basis=exact_source_backed,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_chikungunya_fever_xerus_erythropus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Chikungunya fever,host,Xerus erythropus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_callithrix_penicillata_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Callithrix penicillata,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_chlorocebus_aethiops_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Chlorocebus aethiops,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_erythrocebus_patas_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Erythrocebus patas,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Isolation/Observation,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_hylaeamys_megacephalus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Hylaeamys megacephalus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_macaca_fascicularis_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Macaca fascicularis,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=Antibodies; Isolation/Observation; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_macaca_nemestrina_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Macaca nemestrina,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=primates; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_mesomys_hispidus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Mesomys hispidus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_mus_musculus_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Mus musculus,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=Not specified; PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
role_gap_host_roles_v0_1_dengue_proechimys_cuvieri_source_check,role_gap,role_gap_source_check,role_gap_host_roles_v0_1,Dengue,host,Proechimys cuvieri,host_role_gap_source_check,unknown,P1_role_gap_source_check,,current_bucket=host_presence_only; evidence_basis=candidate_only,role_gap_priority_score=11; host_class=mammalia; host_order=rodentia; detection=PCR/Sequencing,,Source-check whether this host has a source-backed biological role beyond host presence before adding official role evidence or assignment rows.
