candidate_row_id,disease_name,entity_type,entity_name,role_assignment,decision,import_ready,official_csv_target,decision_reason,caveat
candidate_009,Ebola virus disease,host,Homo sapiens,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,"Keep as evidence for human amplification, not as an exact spillover_host import.",The candidate role spillover_host is not ideal for Homo sapiens; evidence supports human outbreak amplification after spillover.
candidate_010,Marburg virus disease,host,Homo sapiens,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,"Keep as evidence for human amplification, not as an exact spillover_host import.",The candidate role spillover_host is not ideal for Homo sapiens; evidence supports human outbreak amplification after spillover.
candidate_011,Nipah virus disease,host,Homo sapiens,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,"Useful evidence, but role should be reframed as human outbreak amplification if imported.",The candidate role spillover_host is not ideal for Homo sapiens; human-to-human transmission is context-dependent.
candidate_014,Lassa fever,host,Homo sapiens,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,"Useful evidence, but import should use amplification/secondary transmission wording if at all.",The candidate role spillover_host is not ideal for Homo sapiens; evidence supports context-dependent person-to-person transmission.
candidate_016,Dengue,vector,Aedes hensilli,epidemic_vector,defer,FALSE,,Do not import until primary dengue source is checked.,Need the Savage 1998 dengue paper text before import; current local evidence is secondary and says dengue support is weaker.
candidate_045,Sudan virus disease,host,Homo sapiens,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,Useful human outbreak evidence but exact candidate role should be reframed.,The animal source is unresolved; Homo sapiens evidence supports outbreak transmission rather than spillover_host as a role.
candidate_046,Argentine hemorrhagic fever,host,Calomys laucha,reservoir_host,accept_evidence_only,FALSE,host_role_evidence.csv,Do not import as medium reservoir_host without manual review; evidence supports only a caveated candidate.,"Evidence for C. laucha is weaker than for C. musculinus; treat as possible/minor reservoir candidate, not equal primary reservoir."
candidate_049,Influenza (H5N1 avian influenza),host,Bos taurus,spillover_host,accept_evidence_only,FALSE,host_role_evidence.csv,"Evidence is strong for cattle infection/outbreak host, but role should be conservative.","Candidate proposed spillover_host, but current repo convention already uses susceptible_host_only for Bos taurus H5N1; avoid implying reservoir/amplifier without review."
manual_chikungunya_vourch2014_macaca_fascicularis,Chikungunya fever,host,Macaca fascicularis,host_presence_only,accept_evidence_only,FALSE,host_role_evidence.csv,Keep as source-check context only unless an evidence-only import path is added later.,"Exposure evidence only; do not infer amplification, reservoir, or maintenance role."
role_gap_host_roles_v0_1_chikungunya_fever_chlorocebus_aethiops_source_check,Chikungunya fever,host,Chlorocebus aethiops,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_erythrocebus_patas_source_check,Chikungunya fever,host,Erythrocebus patas,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_macaca_fascicularis_source_check,Chikungunya fever,host,Macaca fascicularis,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_mus_musculus_source_check,Chikungunya fever,host,Mus musculus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_papio_hamadryas_source_check,Chikungunya fever,host,Papio hamadryas,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_papio_papio_source_check,Chikungunya fever,host,Papio papio,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_chikungunya_fever_xerus_erythropus_source_check,Chikungunya fever,host,Xerus erythropus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_callithrix_penicillata_source_check,Dengue,host,Callithrix penicillata,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_chlorocebus_aethiops_source_check,Dengue,host,Chlorocebus aethiops,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_erythrocebus_patas_source_check,Dengue,host,Erythrocebus patas,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_hylaeamys_megacephalus_source_check,Dengue,host,Hylaeamys megacephalus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_macaca_fascicularis_source_check,Dengue,host,Macaca fascicularis,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_macaca_nemestrina_source_check,Dengue,host,Macaca nemestrina,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_mesomys_hispidus_source_check,Dengue,host,Mesomys hispidus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_mus_musculus_source_check,Dengue,host,Mus musculus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_proechimys_cuvieri_source_check,Dengue,host,Proechimys cuvieri,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_proechimys_guyannensis_source_check,Dengue,host,Proechimys guyannensis,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_trachypithecus_cristatus_source_check,Dengue,host,Trachypithecus cristatus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_dengue_trachypithecus_obscurus_source_check,Dengue,host,Trachypithecus obscurus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_mus_musculus_source_check,Influenza (H5N1 avian influenza),host,Mus musculus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_ondatra_zibethicus_source_check,Influenza (H5N1 avian influenza),host,Ondatra zibethicus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_influenza_h5n1_avian_influenza_rattus_norvegicus_source_check,Influenza (H5N1 avian influenza),host,Rattus norvegicus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_rift_valley_fever_rattus_rattus_source_check,Rift Valley fever,host,Rattus rattus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_arvicanthis_niloticus_source_check,West Nile fever,host,Arvicanthis niloticus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_macaca_sylvanus_source_check,West Nile fever,host,Macaca sylvanus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_mastomys_erythroleucus_source_check,West Nile fever,host,Mastomys erythroleucus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_mesocricetus_auratus_source_check,West Nile fever,host,Mesocricetus auratus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_mus_musculus_source_check,West Nile fever,host,Mus musculus,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_sciurus_carolinensis_source_check,West Nile fever,host,Sciurus carolinensis,host_role_gap_source_check,pending,no,,,
role_gap_host_roles_v0_1_west_nile_fever_sciurus_niger_source_check,West Nile fever,host,Sciurus niger,host_role_gap_source_check,pending,no,,,
