disease_name,host_candidate_rows,human_host_candidate_rows,livestock_host_candidate_rows,bird_host_candidate_rows,rodent_host_candidate_rows,bat_host_candidate_rows,roster_rows,roster_host_rows,roster_vector_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_competence,roster_vectors_with_human_biting,roster_taxonomy_caution_rows,disease_vector_rows,disease_vector_confirmed_rows,disease_vector_probable_rows,disease_vector_candidate_rows,vector_competence_joined_rows,vector_competence_transmission_yes_rows,vector_competence_natural_infection_yes_rows,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,genbank_unmatched_map_rows,genbank_unmatched_records,who_don_focal_country_rows,who_don_distinct_records,who_don_distinct_countries,who_don_high_confidence_rows,who_don_manual_review_rows,host_role_evidence_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_assignment_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,has_host_candidates,has_vector_rows,has_competence_joined,has_genbank_country_evidence,has_who_don_focal_evidence,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,has_any_substantive_role_evidence,role_assignment_status
Chikungunya fever,20,1,0,1,2,9,41,20,21,12,15,12,0,21,2,7,10,15,14,0,115,115,10709,7,3187,0,0,0,0,0,4,4,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,reviewed_assignment_present
Crimean-Congo hemorrhagic fever,13,1,5,0,3,0,62,13,49,35,30,27,2,49,16,4,29,30,2,1,53,53,5335,1,4,4,4,3,0,4,2,2,5,5,2,2,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Dengue,37,1,0,0,5,14,53,37,16,6,15,6,0,16,8,2,4,15,2,3,143,143,53740,7,1254,47,38,28,1,47,1,1,6,6,1,1,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Oropouche fever,6,1,0,0,0,0,21,6,15,10,15,10,0,16,1,4,7,16,2,9,15,15,3156,1,3,5,1,5,0,5,2,2,3,3,2,2,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Plague,37,1,1,0,22,0,84,37,47,11,47,2,3,47,38,5,3,47,37,14,36,36,152996,1,1101,21,19,10,1,21,3,3,4,4,3,3,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Rift Valley fever,17,1,5,0,1,6,95,17,78,45,72,43,1,88,6,33,36,82,30,53,33,33,1793,1,6,18,13,10,1,18,5,5,6,6,5,5,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Severe fever with thrombocytopenia syndrome (SFTS),0,0,0,0,0,0,51,36,15,7,15,3,0,15,5,1,2,15,5,15,6,6,9975,0,0,0,0,0,0,0,3,3,4,4,2,2,3,3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,reviewed_assignment_present
Tick-borne encephalitis,0,0,0,0,0,0,95,84,11,6,11,6,0,11,8,1,0,11,10,8,37,37,3428,1,1,0,0,0,0,0,4,4,5,5,3,3,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,reviewed_assignment_present
Venezuelan equine encephalitis,31,1,1,7,9,7,66,31,35,21,31,19,0,43,9,12,22,40,19,17,19,19,368,1,1,0,0,0,0,0,3,3,3,3,2,2,3,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,reviewed_assignment_present
West Nile fever,186,1,7,140,6,1,261,186,75,47,39,39,1,75,9,10,52,39,21,1,73,73,8316,0,0,14,11,4,0,14,4,4,6,6,3,3,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Yellow fever,23,1,0,0,0,0,53,23,30,12,27,12,0,32,18,7,7,29,20,10,42,42,1995,1,1,109,71,34,7,104,2,2,6,6,1,1,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Zika virus disease,18,1,0,0,2,6,74,18,56,29,27,29,2,57,7,7,27,27,7,11,78,78,2245,3,25,16,15,14,9,14,1,1,3,3,1,1,3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,reviewed_assignment_present
Acute diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute encephalitis syndrome due to Chandipura virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute febrile illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute fever and rash syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute haemorrhagic fever syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,8,1,16,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute respiratory infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute respiratory syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,49,25,2,102,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Acute watery diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
African horse sickness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Alkhurma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Andes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,39701,2,5,15,15,4,0,15,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Argentine hemorrhagic fever,8,1,0,0,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,178,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,reviewed_assignment_present
Australian bat lyssavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Babesia microti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Barmah Forest virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Bartonellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Baylisascaris procyonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Bayou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Bloody diarrhoea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,3,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Bluetongue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,12531,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Bokeloh bat lyssavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
