batch_order,phase,batch_id,disease_name,entity_type,entity_name,role_assignment,assignment_confidence,evidence_basis,review_reason,source_id,source_lookup_status,source_title,authors_or_organization,year,source_type,source_url,doi,pmid,pmcid,source_access,rows_supported,reliability_note,source_check_note,candidate_row,file_name
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes furcifer,sylvatic_vector,medium,review synthesis of African sylvatic isolations,Strong region-specific review support.,DEN-DIALLO-2022,matched_sources_used,Dengue vectors in Africa: A review,D. Diallo et al.,2022,review,https://pubmed.ncbi.nlm.nih.gov/35620619/,10.1016/j.heliyon.2022.e09459,35620619,—,abstract_only,*Ae. furcifer*; *Ae. luteocephalus*; *Ae. taylori*,High-value regional review for African sylvatic vectors.,verify source URL/DOI/PMID and exact evidence span before import,Dengue | vector | Aedes furcifer | sylvatic_vector | medium,PIIS2405844022007472.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes hensilli,epidemic_vector,medium,outbreak-specific named vector implication,Add only if your repo accepts outbreak-specific regional epidemic vectors.,DEN-SAVAGE-1998,matched_sources_used,"Epidemic of dengue-4 virus in Yap State, Federated States of Micronesia, and implication of Aedes hensilli as an epidemic vector",H. M. Savage et al.,1998,primary outbreak study,https://pubmed.ncbi.nlm.nih.gov/9574802/,10.4269/ajtmh.1998.58.519,9574802,—,abstract_only,*Ae. hensilli*,Strong species-level outbreak paper.,verify source URL/DOI/PMID and exact evidence span before import,Dengue | vector | Aedes hensilli | epidemic_vector | medium,
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes luteocephalus,sylvatic_vector,medium,review synthesis of African sylvatic isolations,Strong region-specific review support.,DEN-DIALLO-2022,matched_sources_used,Dengue vectors in Africa: A review,D. Diallo et al.,2022,review,https://pubmed.ncbi.nlm.nih.gov/35620619/,10.1016/j.heliyon.2022.e09459,35620619,—,abstract_only,*Ae. furcifer*; *Ae. luteocephalus*; *Ae. taylori*,High-value regional review for African sylvatic vectors.,verify source URL/DOI/PMID and exact evidence span before import,Dengue | vector | Aedes luteocephalus | sylvatic_vector | medium,PIIS2405844022007472.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes polynesiensis,epidemic_vector,medium,historic species-level transmission paper,Old evidence but direct and still cited in later reviews.,DEN-ROSEN-1954,matched_sources_used,The transmission of dengue by Aedes polynesiensis Marks,L. Rosen et al.,1954,primary study,https://pubmed.ncbi.nlm.nih.gov/13197723/,10.4269/ajtmh.1954.3.878,13197723,—,abstract_only,*Ae. polynesiensis*,Old but canonical and still cited.,verify source URL/DOI/PMID and exact evidence span before import,Dengue | vector | Aedes polynesiensis | epidemic_vector | medium,tpmd-article-p878.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Dengue,vector,Aedes taylori,sylvatic_vector,medium,review synthesis of African sylvatic isolations,Strong region-specific review support.,DEN-DIALLO-2022,matched_sources_used,Dengue vectors in Africa: A review,D. Diallo et al.,2022,review,https://pubmed.ncbi.nlm.nih.gov/35620619/,10.1016/j.heliyon.2022.e09459,35620619,—,abstract_only,*Ae. furcifer*; *Ae. luteocephalus*; *Ae. taylori*,High-value regional review for African sylvatic vectors.,verify source URL/DOI/PMID and exact evidence span before import,Dengue | vector | Aedes taylori | sylvatic_vector | medium,PIIS2405844022007472.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,host,Cynomys ludovicianus,amplifying_host,medium,species-level epizootic ecology study,"Useful named-host addition, but it is a North American epizootic-role row rather than a universal maintenance claim.",PL-SEERY-2003,matched_sources_used,Treatment of Black-Tailed Prairie Dog Burrows with Deltamethrin Dust,D. B. Seery et al.,2003,primary ecology/control study,https://academic.oup.com/jme/article/40/5/718/865008,—,—,—,full_text,*Cynomys ludovicianus*,Strong species-level amplifying-host wording.,verify source URL/DOI/PMID and exact evidence span before import,Plague | host | Cynomys ludovicianus | amplifying_host | medium,jmedent40-0718.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,vector,Oropsylla hirsuta,candidate_vector,medium,species-level epizootic vector wording,Likely worth staging if your repo accepts epizootic prairie-dog vector rows.,PL-MIARINJARA-2022,matched_sources_used,Reevaluation of the Role of Blocked Oropsylla hirsuta Prairie Dog Fleas,A. Miarinjara et al.,2022,primary study,https://academic.oup.com/jme/article/59/3/1053/6563783,—,—,—,abstract_only,*O. hirsuta*,Useful for candidate vector staging in prairie-dog epizootic context.,verify source URL/DOI/PMID and exact evidence span before import,Plague | vector | Oropsylla hirsuta | candidate_vector | medium,tjac021.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,vector,Oropsylla montana,primary_vector,high,official report/public-health species-level vector wording,Strong named vector support for North America.,PL-NMDOH-2013,matched_sources_used,Plague,New Mexico Department of Health,2013,state public-health report,https://www.nmhealth.org/publication/view/help/1009/,—,—,—,report_pdf,*O. montana* corroboration,Very useful named-vector wording for human plague risk in New Mexico.,multiple sources listed; verify each source supports the exact role grain,Plague | vector | Oropsylla montana | primary_vector | high,ZDP-PLG-InvestigationManual.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,Plague,vector,Oropsylla montana,primary_vector,high,official report/public-health species-level vector wording,Strong named vector support for North America.,PL-USGS-2012,matched_sources_used,Plague,R. C. Abbott et al.; USGS,2012,official report,https://pubs.usgs.gov/circ/1372/pdf/C1372_Plague.pdf,—,—,—,report_pdf,*O. montana*,Valuable official review with explicit North American vector language.,multiple sources listed; verify each source supports the exact role grain,Plague | vector | Oropsylla montana | primary_vector | high,C1372_Plague.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,host,Turdus migratorius,amplifying_host,medium,official named-species amplifier wording,"Species-level support exists, but wording is local/regional rather than global.",WN-CDC-GUIDE-2024,matched_sources_used,West Nile Virus Surveillance and Control Guidelines,CDC,2024,technical guideline,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,—,—,—,report_pdf,Turdus migratorius; Cx. quinquefasciatus; Cx. tarsalis; Cx. salinarius,High-value named-species ecology source with explicit regional caveats.,verify source URL/DOI/PMID and exact evidence span before import,West Nile fever | host | Turdus migratorius | amplifying_host | medium,WestNileVirus-SurveillanceControlGuidelines_508-h.pdf
1,Phase V,v_batch_1_west_nile_yellow_fever_dengue_plague,West Nile fever,vector,Culex quinquefasciatus,main_vector,high,official named-species regional vector wording,Strong southern-US evidence; add with geographic caveat.,WN-CDC-GUIDE-2024,matched_sources_used,West Nile Virus Surveillance and Control Guidelines,CDC,2024,technical guideline,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,—,—,—,report_pdf,Turdus migratorius; Cx. quinquefasciatus; Cx. tarsalis; Cx. salinarius,High-value named-species ecology source with explicit regional caveats.,verify source URL/DOI/PMID and exact evidence span before import,West Nile fever | vector | Culex quinquefasciatus | main_vector | high,WestNileVirus-SurveillanceControlGuidelines_508-h.pdf
