disease_name,source_pathogen,vector_species,vector_join_key,vector_role_assignment,assignment_status,assignment_confidence,evidence_record_ids,assignment_basis,needs_manual_review,review_notes
West Nile fever,Orthoflavivirus nilense,Culex pipiens,culex pipiens,main_vector,draft_source_backed,high,vector_role_evidence:ECDC Culex pipiens factsheet for experts,ECDC describes Culex pipiens as a major WNV vector; amplificatory and bridge functions remain evidence notes rather than a compound assignment value.,TRUE,Europe-focused source; keep regional caveat before using as an unrestricted global role.
West Nile fever,Orthoflavivirus nilense,Culex modestus,culex modestus,main_vector,draft_source_backed,high,vector_role_evidence:ECDC factsheet about West Nile virus infection,ECDC identifies Culex modestus as one of the main WNV vectors in Europe.,TRUE,Europe-focused source; keep regional caveat before using as an unrestricted global role.
Yellow fever,Yellow fever virus,Aedes aegypti,aedes aegypti,main_vector,draft_source_backed,high,vector_role_evidence:CDC Transmission of Yellow Fever Virus,CDC describes Aedes aegypti as the primary urban mosquito vector for yellow fever.,FALSE,Urban-cycle assignment only.
Yellow fever,Yellow fever virus,Aedes africanus,aedes africanus,sylvatic_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Yellow Fever,CDC Yellow Book lists Aedes africanus in the sylvatic forest-canopy mosquito context.,TRUE,Africa-focused sylvatic-cycle assignment.
Yellow fever,Yellow fever virus,Haemagogus spp.,haemagogus spp,sylvatic_vector,draft_source_backed,high,vector_role_evidence:WHO Yellow fever fact sheet,WHO fact sheet supports Haemagogus genus involvement in yellow fever transmission.,TRUE,Group-level assignment only; do not propagate automatically to each Haemagogus species.
Yellow fever,Yellow fever virus,Sabethes spp.,sabethes spp,sylvatic_vector,draft_source_backed,high,vector_role_evidence:WHO Yellow fever fact sheet,WHO fact sheet supports Sabethes genus involvement in yellow fever transmission.,TRUE,Group-level assignment only; do not propagate automatically to each Sabethes species.
Dengue,Orthoflavivirus denguei,Aedes aegypti,aedes aegypti,primary_vector,draft_source_backed,high,vector_role_evidence:WHO Dengue and severe dengue fact sheet,WHO describes Aedes aegypti as the primary dengue vector.,FALSE,Primary urban vector assignment.
Dengue,Orthoflavivirus denguei,Aedes albopictus,aedes albopictus,candidate_vector,draft_needs_review,medium,vector_role_evidence:WHO Dengue and severe dengue fact sheet,WHO describes Aedes albopictus as able to act as a dengue vector but normally secondary to Aedes aegypti.,TRUE,Consider whether future vocabulary needs a secondary_vector value; currently kept as candidate_vector.
Plague,Yersinia pestis,fleas,flea,main_vector,draft_source_backed,high,vector_role_evidence:CDC How Plague Spreads,CDC describes Yersinia pestis as maintained in a wild rodent-flea cycle.,TRUE,Group-level assignment only; species-level flea rows require species-level evidence.
Plague,Yersinia pestis,Xenopsylla cheopis,xenopsylla cheopis,primary_vector,draft_source_backed,high,vector_role_evidence:CDC MMWR plague treatment guidelines,CDC names the Oriental rat flea Xenopsylla cheopis as a plague vector.,FALSE,Classic species-level plague vector assignment.
Rift Valley fever,Phlebovirus riftense,Aedes spp.,aedes spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes vertical maintenance in Aedes mosquitoes.,TRUE,Group-level assignment only.
Rift Valley fever,Phlebovirus riftense,Culex spp.,culex spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Culex among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Rift Valley fever,Phlebovirus riftense,Mansonia spp.,mansonia spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Mansonia among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Rift Valley fever,Phlebovirus riftense,Anopheles spp.,anopheles spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Anopheles among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Chikungunya fever,Alphavirus chikungunya,Aedes aegypti,aedes aegypti,main_vector,draft_source_backed,high,vector_role_evidence:WHO Chikungunya fact sheet,WHO identifies Aedes aegypti as one of the most common chikungunya vectors.,FALSE,Main urban vector assignment.
Chikungunya fever,Alphavirus chikungunya,Aedes albopictus,aedes albopictus,main_vector,draft_source_backed,high,vector_role_evidence:WHO Chikungunya fact sheet,WHO identifies Aedes albopictus as one of the most common chikungunya vectors.,FALSE,Main vector assignment.
Zika virus disease,Orthoflavivirus zikaense,Aedes aegypti,aedes aegypti,primary_vector,draft_source_backed,high,vector_role_evidence:WHO Zika virus fact sheet,WHO identifies Aedes aegypti as the main Zika vector.,FALSE,Primary vector assignment.
Zika virus disease,Orthoflavivirus zikaense,Aedes albopictus,aedes albopictus,main_vector,draft_needs_review,medium,vector_role_evidence:CDC Transmission of Zika Virus,CDC includes Aedes albopictus in the urban Zika transmission cycle.,TRUE,Keep manual review because WHO frames Aedes aegypti as the main vector.
Venezuelan equine encephalitis,Alphavirus venezuelan,Culex Melanoconion spp.,culex melanoconion spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:CDC Emerging Infectious Diseases VEEV Infection of Cotton Rats,CDC EID article describes enzootic circulation between Culex Melanoconion mosquitoes and rodent reservoirs.,TRUE,Group-level assignment only.
Venezuelan equine encephalitis,Alphavirus venezuelan,Aedes taeniorhynchus,aedes taeniorhynchus,epidemic_vector,draft_source_backed,high,vector_role_evidence:Venezuelan Equine Encephalitis - StatPearls,StatPearls identifies Ochlerotatus taeniorhynchus as primary mosquito vector during epizootics.,TRUE,Synonym and epizootic-cycle caveat require review.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma spp.,hyalomma spp,principal_vector_genus,draft_source_backed,high,vector_role_evidence:WHO Crimean-Congo haemorrhagic fever fact sheet,WHO identifies Hyalomma ticks as the principal vector genus.,TRUE,Group-level assignment only.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes ricinus,ixodes ricinus,main_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC Yellow Book identifies Ixodes ricinus as the primary European subtype vector.,FALSE,Subtype-specific main vector assignment.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes persulcatus,ixodes persulcatus,main_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC Yellow Book identifies Ixodes persulcatus as the primary Far Eastern and Siberian subtype vector.,FALSE,Subtype-specific main vector assignment.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes spp.,ixodes spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:CDC Transmission of Tick-borne Encephalitis,CDC describes environmental maintenance between Ixodes ticks and small rodents.,TRUE,Group-level maintenance assignment only.
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis longicornis,haemaphysalis longicornis,primary_vector,draft_source_backed,high,vector_role_evidence:UKHSA SFTS epidemiology outbreaks and guidance,UKHSA identifies Haemaphysalis longicornis as the primary vector.,FALSE,Primary vector assignment.
