disease_name,disease_name_clean,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,notes,next_action
"Adenovirus acute respiratory disease","Adenovirus acute respiratory disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as respiratory spread unless later evidence suggests otherwise.","hold_out_of_first_pass"
"Argentine hemorrhagic fever","Argentine hemorrhagic fever","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as rodent-associated rather than arthropod-borne for this workflow.","hold_out_of_first_pass"
"Astrovirus gastroenteritis","Astrovirus gastroenteritis","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as enteric transmission, not vector transmission.","hold_out_of_first_pass"
"Borna disease (encephalitis)","Borna disease (encephalitis)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Keep out of vector extraction unless a targeted review says otherwise.","hold_out_of_first_pass"
"Chikungunya fever","Chikungunya fever","clear","1_high","mosquito","WHO_vector_borne_diseases_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with Aedes vectors.","prioritise_vector_lookup"
"Cholera","Cholera","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as water- and food-borne.","hold_out_of_first_pass"
"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever","clear","1_high","tick","WHO_CCHF_fact_sheet","Recognised tick-borne disease in the first-pass screening.","Start species-level lookup with Hyalomma and related ticks.","prioritise_vector_lookup"
"Dengue","Dengue","clear","1_high","mosquito","WHO_vector_borne_diseases_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with Aedes vectors.","prioritise_vector_lookup"
"Ebola virus disease","Ebola virus disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as contact- and reservoir-associated, not arthropod-borne.","hold_out_of_first_pass"
"Enterovirus D68 respiratory disease","Enterovirus D68 respiratory disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as respiratory transmission.","hold_out_of_first_pass"
"HIV infection / AIDS","HIV infection / AIDS","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as blood- and sexual-contact transmission.","hold_out_of_first_pass"
"Hand  foot and mouth disease","Hand foot and mouth disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Spacing normalized in disease_name_clean for joins.","hold_out_of_first_pass"
"Hantavirus pulmonary syndrome","Hantavirus pulmonary syndrome","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as rodent-associated rather than arthropod-borne.","hold_out_of_first_pass"
"Hemorrhagic fever with renal syndrome (Hantaan virus)","Hemorrhagic fever with renal syndrome (Hantaan virus)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as rodent-associated rather than arthropod-borne.","hold_out_of_first_pass"
