row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_notes,transmission_rule_review_status,modelling_scope_status,modelling_scope_reason,analysis_unit_id,master_row,disease_master_name,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,include_as_analysis_unit,preferred_match_source,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,host_query_bucket
source_row,Flaviviridae,High,Orthoflavivirus denguei,Dengue virus,Orthoflavivirus denguei,Dengue,TRUE,TRUE,TRUE,FALSE,both,both,both,both,both,both,both,specific_unit,Orthoflavivirus denguei,Dengue virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,"WHO dengue fact sheet: Ae. aegypti primary, other Aedes secondary; urban human-mosquito-human cycle, no vertebrate host SDM.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_2,2,Dengue,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Flaviviridae,High,Orthoflavivirus zikaense,Zika virus,Orthoflavivirus zikaense,Zika virus disease,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Orthoflavivirus zikaense,Zika virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,vectored,restricted,mixed,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,WHO Zika fact sheet: mainly Ae. aegypti/albopictus; sexual/vertical routes do not define ecological range.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_3,3,Zika,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Togaviridae,High,Alphavirus chikungunya,Chikungunya virus,Alphavirus chikungunya,Chikungunya fever,TRUE,TRUE,TRUE,FALSE,both,both,both,none,none,both,both,specific_unit,Alphavirus chikungunya,Chikungunya virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,High filling,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,vector_sdm_primary_limiter,vector,"WHO/ECDC: CHIKV spread by Ae. aegypti/albopictus; human epidemic cycle, NHP sylvatic cycle not main default range layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_4,4,Chikungunya,1,D,FALSE,Aedes aegypti/albopictus,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Flaviviridae,High,Orthoflavivirus flavi,Yellow fever virus,Orthoflavivirus flavi,Yellow fever,TRUE,FALSE,TRUE,FALSE,priority,priority,priority,none,none,none,none,specific_unit,Orthoflavivirus flavi,Yellow fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Vaccination suppresses range. Flag.,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,include_competent_vectors,host_and_vector,WHO yellow fever and CDC Yellow Book: sylvatic/intermediate/urban cycles; mosquitoes plus NHP/humans; do not use human SDMs.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_5,5,Yellow fever,1,D/E,FALSE,Aedes spp; NHP reservoir,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Flaviviridae,High,Orthoflavivirus nilense,West Nile virus,Orthoflavivirus nilense,West Nile fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,Orthoflavivirus nilense,West Nile virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,EMPRES-i adds animal detections,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,"CDC/ECDC: maintained by Culex mosquitoes and avian hosts; humans/horses dead-end, broad birds make host SDM low value.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_6,6,West Nile,1,E,FALSE,Culex spp; wild birds,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Nairoviridae,High,Orthonairovirus haemorrhagiae,,,Crimean-Congo hemorrhagic fever,TRUE,TRUE,TRUE,TRUE,both,both,none,both,both,none,both,specific_unit,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock amplify tick populations,vectored,host_group_generalist,mixed,tick_borne_pathogen,optional,yes,include_livestock_hosts,vector_sdm_primary_limiter,vector,WHO/ECDC CCHF: Hyalomma ticks primary ecological limiter; livestock/human blood-tissue exposure is important but not the default host SDM layer.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_7,7,CCHF,1,E,TRUE,Hyalomma ticks,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Phenuiviridae,High,Phlebovirus riftense,Rift Valley Fever virus,Phlebovirus riftense,Rift Valley fever,FALSE,TRUE,TRUE,TRUE,prototype,prototype,none,none,none,none,none,specific_unit,Phlebovirus riftense,Rift Valley Fever virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Livestock essential to cycle,vectored,host_group_generalist,mixed,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"WHO RVF: mosquito-borne among livestock; humans also infected through animal fluids, so combine competent mosquitoes with ruminant amplifier layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_8,8,Rift Valley fever,1,C/E,TRUE,Aedes/Culex; livestock amplifier,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Filoviridae,High,Orthoebolavirus zairense,Ebola virus,Orthoebolavirus zairense,Ebola virus disease,TRUE,TRUE,TRUE,TRUE,both,both,none,none,none,none,none,specific_unit,Orthoebolavirus zairense,Ebola virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,non_vectored,restricted,complex,bat_reservoir_spillover,optional,no,include_reservoir_hosts_only,no_vector,mixed,WHO/GOV.UK: fruit bats suspected/believed natural hosts; NHPs often incidental; human-to-human bodily-fluid outbreaks; reservoir uncertainty retained.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_9,9,Ebola,1,B,FALSE,"Fruit bats (Hypsignathus, Epomops, Myonycteris)",yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Filoviridae,High,Orthomarburgvirus marburgense,Marburg virus,Orthomarburgvirus marburgense,Marburg virus disease,TRUE,FALSE,TRUE,TRUE,priority,priority,none,none,none,none,none,specific_unit,Orthomarburgvirus marburgense,Marburg virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Very low filling,non_vectored,specialist,complex,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,WHO: Rousettus aegyptiacus fruit bats considered natural host; human spread by bodily fluids.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_10,10,Marburg,1,B,FALSE,Rousettus aegyptiacus,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Arenaviridae,High,Mammarenavirus lassaense,Lassa Fever virus,Mammarenavirus lassaense,Lassa fever,TRUE,TRUE,TRUE,FALSE,both,both,none,none,none,none,none,specific_unit,Mammarenavirus lassaense,Lassa Fever virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Host taxonomy issue (6 lineages),non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC/WHO: Mastomys multimammate rats shed virus in urine/faeces; limited person-to-person occurs; reservoir SDM useful.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_11,11,Lassa,1,A,FALSE,Mastomys natalensis,yes_existing_who,,,,FALSE,FALSE,,unmatched
