"accession_base","broad_group","ictv_genus","ictv_subgenus","ictv_species","virus_name","isolate","accession","available_sequence","abbrev","candidate_role","proposed_active_unit","decision","decision_reason","support_status","ncbi_followup_hint","ictv_taxon_anchor","ictv_taxon_source","keep_reason","keep_rationale","keep_notes","source_rationale","source_notes","resolved_accession","ncbi_lookup_status","output_source","Completeness","Geographic Location","Geographic Region","Host Common Name","Host Name","Host Taxonomic ID","Is Annotated","Is Lab Host","Is Vaccine Strain","Isolate Collection date","Length","Protein count","Release date","Source database","Submitter Affiliation","Submitter Country","Submitter Names","Update date","Virus Common Name","Virus Infraspecific Names Isolate","Virus Name","Virus Taxonomic ID","host_name_record","host_name_current_override","host_override_note","host_name_datasets","host_name_record_or_override","host_name_current_curated"
"EF065509","Merbecovirus","Betacoronavirus","Merbecovirus","Betacoronavirus pipistrelli","Pipistrellus bat coronavirus HKU5","LMH03f","EF065509","Complete genome","Pi-BatCoV_HKU5","wildlife_group_exemplar","MERS-like bat merbecoviruses","keep_active","ICTV exemplar for a bat merbecovirus candidate group","active_unit","Pipistrellus bat coronavirus HKU5 | LMH03f | EF065509","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","ICTV exemplar for a bat merbecovirus candidate group","Use as a bat-merbecovirus group exemplar while collecting host and zoonotic-potential evidence.","EF065509.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30482,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2022-02-01T00:00:00Z",,,"Pipistrellus bat coronavirus HKU5",694008,"Pipistrellus abramus","","GenBank nuccore record shows /host=Pipistrellus abramus while NCBI Datasets summary returns the broader host label Chiroptera.","Chiroptera","Pipistrellus abramus","Pipistrellus abramus"
"EF065505","Merbecovirus","Betacoronavirus","Merbecovirus","Betacoronavirus tylonycteridis","Tylonycteris bat coronavirus HKU4","B04f","EF065505","Complete genome","Ty-BatCoV_HKU4","wildlife_group_exemplar","MERS-like bat merbecoviruses","keep_active","ICTV exemplar for a bat merbecovirus candidate group","active_unit","Tylonycteris bat coronavirus HKU4 | B04f | EF065505","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","ICTV exemplar for a bat merbecovirus candidate group","Use as a bat-merbecovirus group exemplar while collecting host and zoonotic-potential evidence.","EF065505.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30286,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2022-02-01T00:00:00Z",,,"Tylonycteris bat coronavirus HKU4",694007,"Tylonycteris pachypus","","GenBank nuccore record shows /host=Tylonycteris pachypus while NCBI Datasets summary returns the broader host label Chiroptera.","Chiroptera","Tylonycteris pachypus","Tylonycteris pachypus"
"KC869678","Merbecovirus","Betacoronavirus","Merbecovirus","","NeoCoV","NeoCoV","KC869678","Complete genome","NeoCoV","supporting_named_example","MERS-like bat merbecoviruses","keep_supporting_example","Named merbecovirus example highlighted for zoonotic-potential review","supporting_example","NeoCoV | NeoCoV","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named merbecovirus example highlighted for zoonotic-potential review","Master list bat merbecovirus example with published receptor-binding concern and an NCBI accession available for enrichment.","KC869678.4","ok","stdout","COMPLETE","South Africa","Africa",,"Laephotis capensis",110938,"true","",,"2011",30111,11,"2013-07-30T00:00:00Z","GenBank","Stellenbosch University, Division of Medical Virology, Pathology","South Africa","Ithete,N.L.,Stoffberg,S.,Corman,V.M.,Cottontail,V.M.,Richards,L.R.,Schoeman,M.C.,Drosten,C.,Drexler,J.F.,Preiser,W.,Stoffberg Hockey,S.,Richards,L.","2014-11-13T00:00:00Z",,,"Coronavirus Neoromicia/PML-PHE1/RSA/2011",1368314,"Neoromicia capensis","Laephotis capensis","GenBank nuccore record shows /host=Neoromicia capensis; NCBI Datasets normalizes this to the current taxonomy Laephotis capensis.","Laephotis capensis","Neoromicia capensis","Laephotis capensis"
"JX869059","Merbecovirus","Betacoronavirus","Merbecovirus","Betacoronavirus cameli","Middle East respiratory syndrome-related coronavirus","HCoV-EMC","JX869059","Complete genome","MERS-CoV","active_unit_exemplar","MERS-CoV","keep_active","ICTV exemplar for MERS-CoV","active_unit","Middle East respiratory syndrome-related coronavirus | HCoV-EMC | JX869059","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","ICTV exemplar for MERS-CoV","ICTV exemplar for MERS-CoV","Formal ICTV exemplar row for the MERS virus.","ICTV exemplar for MERS-CoV","Formal ICTV exemplar row for the MERS virus.","JX869059.2","ok","stdout","COMPLETE","","",,"Homo sapiens",9606,"true","",,"2012-06-13",30119,11,"2012-09-27T00:00:00Z","GenBank","Erasmus MC, Viroscience Lab","Netherlands","van Boheemen,S.,de Graaf,M.,Lauber,C.,Bestebroer,T.M.,Raj,V.S.,Zaki,A.M.,Osterhaus,A.D.,Haagmans,B.L.,Gorbalenya,A.E.,Snijder,E.J.,Fouchier,R.A.,Victor,S.R.,Osterhaus,A.D.M.E.,Fouchier,R.A.M.","2012-12-04T00:00:00Z",,,"Human betacoronavirus 2c EMC/2012",1235996,,,,"Homo sapiens","Homo sapiens","Homo sapiens"
"MN996532","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat coronavirus RaTG13","RaTG13","MN996532","Complete genome","RaTG13","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat coronavirus RaTG13 | RaTG13","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example with an NCBI accession available for host/location enrichment.","MN996532.2","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus affinis",59477,"true","",,"2013-07-24",29855,10,"2020-01-29T00:00:00Z","GenBank","Wuhan Institute of Virology, Center for Biosafety Mega-Science, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens","China","Zhou,P.,Yang,X.-L.,Wang,X.-G.,Hu,B.,Zhang,L.,Zhang,W.,Si,H.-R.,Zhu,Y.,Li,B.,Huang,C.-L.,Chen,H.-D.,Chen,J.,Luo,Y.,Guo,H.,Jiang,R.-D.,Liu,M.-Q.,Chen,Y.,Shen,X.-R.,Wang,X.,Zheng,X.-S.,Zhao,K.,Chen,Q.-J.,Deng,F.,Liu,L.-L.,Yan,B.,Zhan,F.-X.,Wang,Y.-Y.,Xiao,G.-F.,Shi,Z.-L.,Yu,P.,Si,H.R.,Yang,X.L.,Shi,Z.L.","2020-11-24T00:00:00Z",,,"Bat coronavirus RaTG13",2709072,,,,"Rhinolophus affinis","Rhinolophus affinis","Rhinolophus affinis"
"AY274119","Sarbecovirus","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","severe acute respiratory syndrome coronavirus","Tor2","AY274119","Complete genome","SARS-CoV","active_unit_exemplar","SARS-CoV-1","keep_active","ICTV exemplar for SARS-CoV-1","active_unit","severe acute respiratory syndrome coronavirus | Tor2 | AY274119","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","ICTV exemplar for SARS-CoV-1","ICTV exemplar for SARS-CoV-1","Formal ICTV exemplar row for the first SARS outbreak virus.","ICTV exemplar for SARS-CoV-1","Formal ICTV exemplar row for the first SARS outbreak virus.","AY274119.3","ok","stdout","COMPLETE","Canada: Toronto","North America",,"Homo sapiens",9606,"true","",,"",29751,14,"2003-04-14T00:00:00Z","GenBank","British Columbia Cancer Research Centre, Genome Sciences Centre","Canada","He,R.,Dobie,F.,Ballantine,M.,Leeson,A.,Li,Y.,Bastien,N.,Cutts,T.,Andonov,A.,Cao,J.,Booth,T.F.,Plummer,F.A.,Tyler,S.,Baker,L.,Li,X.","2020-05-27T00:00:00Z",,,"SARS coronavirus Tor2",227984,,,,"Homo sapiens","Homo sapiens","Homo sapiens"
"KC545383","Merbecovirus","Betacoronavirus","Merbecovirus","Betacoronavirus erinacei","hedgehog coronavirus 1; Erinaceus europaeus coronavirus 1","2012-174/GER/2012","KC545383","Complete genome","EriCoV1","supporting_example","Merbecovirus review set","keep_supporting_example","Extra ICTV merbecovirus exemplar, not part of the initial active set","supporting_example","hedgehog coronavirus 1; Erinaceus europaeus coronavirus 1 | 2012-174/GER/2012","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","Extra ICTV merbecovirus exemplar, not part of the initial active set","Extra ICTV merbecovirus exemplar, not part of the initial active set","Useful as a reference candidate but not one of the initial active host-distribution targets.","Extra ICTV merbecovirus exemplar, not part of the initial active set","Useful as a reference candidate but not one of the initial active host-distribution targets.","KC545383.1","ok","stdout","COMPLETE","Germany","Europe",,"Erinaceus europaeus",9365,"true","",,"2012",30148,12,"2013-10-21T00:00:00Z","GenBank","University of Bonn Medical Centre, Institute of Virology","Germany","Corman,V.M.,Kallies,R.,Philipps,H.,Gopner,G.,Muller,M.A.,Eckerle,I.,Brunink,S.,Drosten,C.,Drexler,J.F.","2014-03-11T00:00:00Z",,,"Betacoronavirus Erinaceus/VMC/DEU/2012",1385427,,,,"Erinaceus europaeus","Erinaceus europaeus","Erinaceus europaeus"
"EF065506","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU4-2","HKU4-2","EF065506","GenBank accession provided","HKU4-2","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU4-2 | HKU4-2","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065506.1.","EF065506.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30286,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU4-2",424360,,,,"Chiroptera","Chiroptera","Chiroptera"
"EF065507","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU4-3","HKU4-3","EF065507","GenBank accession provided","HKU4-3","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU4-3 | HKU4-3","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065507.1.","EF065507.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30286,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU4-3",424361,,,,"Chiroptera","Chiroptera","Chiroptera"
"EF065508","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU4-4","HKU4-4","EF065508","GenBank accession provided","HKU4-4","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU4-4 | HKU4-4","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065508.1.","EF065508.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30316,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU4-4",424362,,,,"Chiroptera","Chiroptera","Chiroptera"
